rupeevest_code,fund_name,amfi_code
31025,Tata ELSS,132757
31189,Motilal Oswal ELSS Tax Saver,133385
31230,ICICI Pru Equity Savings Fund-Reg(G),
31642,PGIM India Flexi Cap,133836
31778,Edelweiss Flexi Cap Fund-Reg(G),
31897,Navi Large & Midcap Fund-Reg(G),
31950,LIC MF Large & Midcap Fund-Reg(G),
32077,ICICI Pru Manufacturing Fund(G),
32078,Aditya Birla SL Retirement Fund-30-Reg(G),
32452,Baroda BNP Paribas Focused,150263
32627,LIC MF Focused Fund-Reg(G),
32632,Navi ELSS Tax Saver Fund-Reg(G),
32901,SBI Equity Savings Fund-Reg(G),
33066,Union Largecap Fund-Reg(G),
33370,Axis Equity Savings Fund-Reg(G),
33536,Mirae Asset ELSS Tax Saver,135784
33606,Groww Value Fund-Reg(G),
33726,Tata Banking and Financial Services,135794
33727,Tata Digital India Fund-Reg(G),
33728,Tata India Consumer Fund-Reg(G),
33729,Tata India Pharma & Healthcare Fund-Reg(G),
33731,Tata Resources & Energy Fund-Reg(G),
33878,SBI Equity Minimum Variance Fund-Reg(G),
34871,DSP Equity Savings Fund-Reg(G),
35200,Sundaram Business Cycle Fund-Reg(G),
35242,Tata Small Cap Fund-Reg(G),
35818,UTI Equity Savings Fund-Reg(G),
36002,DSP Healthcare Fund-Reg(G),
36026,Sundaram LT Micro Cap Tax Adv Fund-Sr III-Reg(G),
36058,Mahindra Manulife ELSS Tax Saver Fund-Reg(G),
36348,LIC MF Midcap Fund-Reg(G),
36380,Sundaram LT Micro Cap Tax Adv Fund-Sr IV-Reg(G),
36398,ICICI Pru Pharma Healthcare & Diagnostics (P.H.D) Fund-(G),
36401,Mahindra Manulife Multi Cap,141224
36671,Mahindra Manulife Equity Savings Fund-Reg(G),
36734,SBI LT Advantage Fund-IV-Reg(G),
36903,Sundaram LT Micro Cap Tax Adv Fund-Sr V-Reg(G),
36914,LIC MF Small Cap Fund-Reg(G),
37591,Aditya Birla SL Pharma & Healthcare Fund-Reg(G),
37759,HDFC Banking & Financial Services Fund-Reg(G),
37849,Sundaram Services Fund-Reg(G),
